name,position,team_name,now_cost,adjusted_expected_points,points_per_price,dataset,element_type,team,price_per_point
Aaron Hickey,DEF,Brentford,45.0,14.423684210526314,0.32052631578947366,All Seasons,,,3.1198686371100166
Aaron Ramsdale,GK,Arsenal,50.0,31.2283185840708,0.6245663716814159,All Seasons,,,1.6011108592155974
Abdoulaye Doucouré,MID,Everton,55.0,17.478947368421053,0.31779904306220097,All Seasons,,,3.1466425775368863
Adam Smith,DEF,Bournemouth,45.0,14.410526315789475,0.320233918128655,All Seasons,,,3.122717311906501
Adrián San Miguel del Castillo,GK,Liverpool,40.0,0.7719298245614035,0.019298245614035085,All Seasons,,,51.81818181818183
Albert Sambi Lokonga,MID,Arsenal,50.0,6.453333333333333,0.12906666666666666,All Seasons,,,7.747933884297521
Aleksandar Mitrović,FWD,Fulham,75.0,15.881578947368421,0.21175438596491228,All Seasons,,,4.722452361226181
Alex Iwobi,MID,Everton,55.0,19.11315789473684,0.347511961722488,All Seasons,,,2.877598788379458
Alexandre Moreno Lopera,DEF,Aston Villa,50.0,25.92,0.5184000000000001,All Seasons,,,1.929012345679012
Alexis Mac Allister,MID,Liverpool,60.0,19.719298245614034,0.3286549707602339,All Seasons,,,3.0427046263345194
Alisson Ramses Becker,GK,Liverpool,55.0,33.54385964912281,0.6098883572567784,All Seasons,,,1.639644351464435
Amadou Onana,MID,Everton,50.0,16.856756756756756,0.3371351351351351,All Seasons,,,2.9661696328362996
Andreas Hoelgebaum Pereira,MID,Fulham,55.0,22.98157894736842,0.4178468899521531,All Seasons,,,2.393221115309745
Andrew Robertson,DEF,Liverpool,65.0,32.8421052631579,0.5052631578947369,All Seasons,,,1.9791666666666665
Andrey Nascimento dos Santos,MID,Chelsea,45.0,0.0,0.0,All Seasons,,,inf
André Tavares Gomes,MID,Everton,45.0,0.0,0.0,All Seasons,,,inf
Andy Lonergan,GK,Everton,40.0,0.0,0.0,All Seasons,,,inf
Anthony Knockaert,MID,Fulham,45.0,0.0,0.0,All Seasons,,,inf
Antoine Semenyo,FWD,Bournemouth,45.0,7.4,0.16444444444444445,All Seasons,,,6.081081081081081
Antonee Robinson,DEF,Fulham,45.0,14.01315789473684,0.3114035087719298,All Seasons,,,3.211267605633803
Armando Broja,FWD,Chelsea,50.0,13.232894736842107,0.26465789473684215,All Seasons,,,3.778462762255145
Ashley Young,DEF,Everton,45.0,14.601315789473682,0.3244736842105263,All Seasons,,,3.0819140308191404
Bailey Peacock-Farrell,GK,Burnley,40.0,0.2644736842105263,0.006611842105263157,All Seasons,,,151.24378109452738
Ben Chilwell,DEF,Chelsea,55.0,16.394736842105264,0.2980861244019139,All Seasons,,,3.354735152487961
Ben Godfrey,DEF,Everton,45.0,12.002727272727274,0.26672727272727276,All Seasons,,,3.7491479209270615
Ben Mee,DEF,Brentford,50.0,24.344736842105263,0.48689473684210527,All Seasons,,,2.053832018160199
Ben Pearson,MID,Bournemouth,45.0,1.7526315789473683,0.038947368421052626,All Seasons,,,25.67567567567568
Benjamin White,DEF,Arsenal,55.0,36.12631578947369,0.6568421052631581,All Seasons,,,1.522435897435897
Benoît Badiashile,DEF,Chelsea,45.0,16.181818181818183,0.35959595959595964,All Seasons,,,2.780898876404494
Bernd Leno,GK,Fulham,45.0,17.625438596491225,0.39167641325536057,All Seasons,,,2.5531279550092076
Bertrand Traoré,MID,Aston Villa,50.0,10.704424778761062,0.21408849557522125,All Seasons,,,4.670965608465608
Bobby De Cordova-Reid,MID,Fulham,55.0,16.81578947368421,0.30574162679425837,All Seasons,,,3.270735524256651
