name,avg_total_points,id,element_type,team,now_cost,adjusted_expected_points,points_per_price,price_per_point,position
Erling Haaland,7.157894736842105,355.0,4.0,Man City,140.0,61.5578947368421,0.4396992481203007,2.2742818057455545,Forward
Harry Kane,6.921052631578948,500.0,4.0,Spurs,125.0,53.2921052631579,0.4263368421052632,2.3455631820650833,Forward
Mohamed Salah,6.2894736842105265,308.0,3.0,Liverpool,125.0,50.31578947368421,0.4025263157894737,2.4843096234309625,Midfielder
Martin Ødegaard,5.578947368421052,14.0,3.0,Arsenal,85.0,49.09473684210526,0.5775851393188854,1.7313464837049743,Midfielder
Bukayo Saka,5.315789473684211,19.0,3.0,Arsenal,85.0,46.77894736842106,0.5503405572755419,1.8170567056705669,Midfielder
Gabriel Martinelli Silva,5.2105263157894735,12.0,3.0,Arsenal,80.0,45.85263157894737,0.5731578947368421,1.7447199265381084,Midfielder
Marcus Rashford,5.394736842105263,396.0,3.0,Man Utd,90.0,44.23684210526315,0.49152046783625725,2.034503271861987,Midfielder
Ivan Toney,4.7894736842105265,117.0,4.0,Brentford,80.0,41.66842105263158,0.5208552631578948,1.9199191612984716,Forward
Kevin De Bruyne,4.815789473684211,349.0,3.0,Man City,105.0,41.41578947368421,0.39443609022556386,2.5352649637819296,Midfielder
David Raya Martin,4.368421052631579,113.0,1.0,Brentford,50.0,38.00526315789473,0.7601052631578946,1.3156072566126578,Goalkeeper
Bruno Borges Fernandes,4.631578947368421,373.0,3.0,Man Utd,85.0,37.97894736842105,0.44681114551083595,2.238082039911308,Midfielder
Pascal Groß,4.184210526315789,134.0,3.0,Brighton,65.0,37.23947368421053,0.572914979757085,1.7454596848279273,Midfielder
Kieran Trippier,5.2105263157894735,430.0,2.0,Newcastle,65.0,36.99473684210526,0.5691497975708502,1.7570066865841516,Defender
Benjamin White,4.105263157894737,29.0,2.0,Arsenal,55.0,36.12631578947369,0.6568421052631581,1.522435897435897,Defender
Leandro Trossard,4.052631578947368,26.0,3.0,Arsenal,70.0,35.66315789473684,0.5094736842105263,1.962809917355372,Midfielder
Granit Xhaka,4.026315789473684,30.0,3.0,Arsenal,60.0,35.43157894736842,0.5905263157894737,1.6934046345811051,Midfielder
Solly March,3.8684210526315788,140.0,3.0,Brighton,65.0,34.42894736842105,0.5296761133603238,1.88794618971184,Midfielder
Bryan Mbeumo,3.9473684210526314,108.0,3.0,Brentford,65.0,34.34210526315789,0.5283400809716599,1.8927203065134102,Midfielder
Alisson Ramses Becker,4.2631578947368425,291.0,1.0,Liverpool,55.0,34.10526315789474,0.6200956937799044,1.6126543209876543,Goalkeeper
Eberechi Eze,4.184210526315789,226.0,3.0,Crystal Palace,65.0,33.892105263157895,0.521417004048583,1.9178507648109324,Midfielder
Gabriel dos Santos Magalhães,3.8421052631578947,5.0,2.0,Arsenal,50.0,33.810526315789474,0.6762105263157895,1.4788293897882938,Defender
Ollie Watkins,4.605263157894737,60.0,4.0,Aston Villa,80.0,33.15789473684211,0.4144736842105264,2.412698412698412,Forward
Aaron Ramsdale,3.763157894736842,17.0,1.0,Arsenal,50.0,33.11578947368421,0.6623157894736842,1.5098537825810554,Goalkeeper
Trent Alexander-Arnold,4.105263157894737,290.0,2.0,Liverpool,80.0,32.8421052631579,0.41052631578947374,2.4358974358974357,Defender
Ben Mee,3.763157894736842,109.0,2.0,Brentford,50.0,32.73947368421052,0.6547894736842105,1.527208423760148,Defender
Cody Gakpo,4.090909090909091,297.0,4.0,Liverpool,75.0,32.72727272727273,0.43636363636363634,2.291666666666667,Forward
Kaoru Mitoma,3.6315789473684212,143.0,3.0,Brighton,65.0,32.32105263157895,0.4972469635627531,2.011073115127829,Midfielder
Phil Foden,3.736842105263158,353.0,3.0,Man City,75.0,32.136842105263156,0.4284912280701754,2.3337700622338686,Midfielder
Pervis Estupiñán,3.5555555555555554,131.0,2.0,Brighton,50.0,31.644444444444446,0.632888888888889,1.5800561797752808,Defender
Son Heung-min,4.0,516.0,3.0,Spurs,90.0,30.8,0.3422222222222222,2.9220779220779223,Midfielder
Mathias Jensen,3.473684210526316,106.0,3.0,Brentford,55.0,30.221052631578946,0.5494736842105263,1.8199233716475096,Midfielder
Miguel Almirón Rejala,4.157894736842105,402.0,3.0,Newcastle,65.0,29.521052631578947,0.45417004048582993,2.201818505972544,Midfielder
Alexis Mac Allister,3.6842105263157894,304.0,3.0,Liverpool,60.0,29.473684210526315,0.49122807017543857,2.035714285714286,Midfielder
Nick Pope,4.131578947368421,424.0,1.0,Newcastle,55.0,29.33421052631579,0.5333492822966507,1.8749439311025389,Goalkeeper
Callum Wilson,4.131578947368421,433.0,4.0,Newcastle,80.0,29.33421052631579,0.3666776315789474,2.7271911725127835,Forward
Gabriel Fernando de Jesus,3.289473684210526,8.0,4.0,Arsenal,80.0,28.947368421052634,0.3618421052631579,2.7636363636363637,Forward
Riyad Mahrez,3.3157894736842106,359.0,3.0,Man City,75.0,28.51578947368421,0.3802105263157895,2.6301218161683275,Midfielder
José Malheiro de Sá,3.8947368421052633,569.0,1.0,Wolves,50.0,28.431578947368422,0.5686315789473685,1.7586079229914844,Goalkeeper
Michael Olise,3.473684210526316,236.0,3.0,Crystal Palace,60.0,28.136842105263156,0.4689473684210526,2.132435465768799,Midfielder
Kepa Arrizabalaga,3.1052631578947367,187.0,1.0,Chelsea,50.0,27.63684210526316,0.5527368421052632,1.80917920396115,Goalkeeper
Ederson Santana de Moraes,3.1842105263157894,352.0,1.0,Man City,55.0,27.384210526315787,0.4978947368421052,2.0084566596194504,Goalkeeper
Jack Grealish,3.1842105263157894,354.0,3.0,Man City,75.0,27.384210526315787,0.36512280701754385,2.738804535844705,Midfielder
James Maddison,3.5526315789473686,504.0,3.0,Spurs,75.0,27.35526315789474,0.3647368421052632,2.7417027417027415,Midfielder
William Saliba,3.0789473684210527,20.0,2.0,Arsenal,50.0,27.094736842105267,0.5418947368421053,1.845376845376845,Defender
Douglas Luiz Soares de Paulo,3.736842105263158,43.0,3.0,Aston Villa,55.0,26.905263157894737,0.4891866028708134,2.0442097026604067,Midfielder
Declan Rice,3.0526315789473686,540.0,3.0,Arsenal,55.0,26.863157894736847,0.48842105263157903,2.047413793103448,Midfielder
Dwight McNeil,3.3157894736842106,259.0,3.0,Everton,55.0,26.857894736842105,0.48832535885167466,2.0478150107779736,Midfielder
Alex Iwobi,3.3157894736842106,256.0,3.0,Everton,55.0,26.857894736842105,0.48832535885167466,2.0478150107779736,Midfielder
Luke Shaw,3.263157894736842,398.0,2.0,Man Utd,55.0,26.757894736842104,0.4865071770334928,2.0554681353265147,Defender
Virgil van Dijk,3.3421052631578947,313.0,2.0,Liverpool,60.0,26.736842105263158,0.4456140350877193,2.2440944881889764,Defender
Pedro Porro,3.4705882352941178,506.0,2.0,Spurs,50.0,26.72352941176471,0.5344705882352941,1.8710103455866167,Defender
